idPedido;cpf;dataPedido;valorPedido
1;123.234.567-89;01/01/2021;100.00
2;456.567.890-12;02/01/2021;50.00
3;567.678.901-23;05/01/2021;200.00
4;234.345.678-90;10/01/2021;150.00
5;678.789.012-34;15/01/2021;80.00
6;123.234.567-89;20/01/2021;120.00
7;789.890.123-45;25/01/2021;90.00
8;901.012.345-67;01/02/2021;100.00
9;456.567.890-12;05/02/2021;75.00
10;890.901.234-56;10/02/2021;110.00
11;012.123.456-78;15/02/2021;60.00
12;678.789.012-34;20/02/2021;95.00
13;345.456.789-01;25/02/2021;180.00
14;456.567.890-12;01/03/2021;50.00
15;901.012.345-67;05/03/2021;120.00
16;123.234.567-89;10/03/2021;70.00
17;234.345.678-90;15/03/2021;140.00
18;789.890.123-45;20/03/2021;90.00
19;567.678.901-23;25/03/2021;200.00
20;890.901.234-56;01/04/2021;100.00
