idPedido;cpf;dataPedido;valorPedido
1;123;01/01/2021;100.00
2;123;02/01/2021;102.00
3;234;03/01/2021;1000.00
4;567;04/01/2021;500.00
5;567;05/01/2021;750.00
6;789;06/01/2021;250.00
7;789;07/01/2021;300.00
8;123;08/01/2021;120.00
9;234;09/01/2021;600.00
10;567;10/01/2021;400.00
11;789;11/01/2021;150.00
12;234;12/01/2021;800.00
13;567;13/01/2021;900.00
14;789;14/01/2021;50.00
15;123;15/01/2021;150.00
16;234;16/01/2021;300.00
17;567;17/01/2021;200.00
18;789;18/01/2021;80.00
19;123;19/01/2021;350.00
20;234;20/01/2021;1500.00
21;567;21/01/2021;900.00
22;789;22/01/2021;200.00
23;123;23/01/2021;75.00
24;234;24/01/2021;450.00
25;567;25/01/2021;150.00
26;789;26/01/2021;50.00
27;234;27/01/2021;2000.00
28;567;28/01/2021;700.00
29;789;29/01/2021;120.00
30;123;30/01/2021;90.00
31;234;31/01/2021;180.00
32;567;01/02/2021;650.00
33;789;02/02/2021;75.00
34;123;03/02/2021;300.00
35;234;04/02/2021;800.00
36;567;05/02/2021;1500.00
37;789;06/02/2021;300.00
38;123;07/02/2021;600.00
39;234;08/02/2021;50.00
40;567;09/02/2021;90.00
41;789;10/02/2021;1000.00
42;123;11/02/2021;350.00
43;234;12/02/2021;200.00
44;567;13/02/2021;150.00
45;789;14/02/2021;750.00
46;123;15/02/2021;400.00
47;234;16/02/2021;100.00
49;321;02/01/2021;75.00
50;456;02/01/2021;150.00
51;789;03/01/2021;200.00
52;654;03/01/2021;125.00
53;987;04/01/2021;50.00
54;741;04/01/2021;75.00
55;852;05/01/2021;100.00
56;963;05/01/2021;125.00
57;159;06/01/2021;150.00
58;753;06/01/2021;175.00
59;852;07/01/2021;200.00
60;951;07/01/2021;225.00
61;357;08/01/2021;250.00
62;468;08/01/2021;275.00
63;246;09/01/2021;300.00
64;802;09/01/2021;325.00
65;468;10/01/2021;350.00
66;159;10/01/2021;375.00
67;753;11/01/2021;400.00
68;852;11/01/2021;425.00
69;951;12/01/2021;450.00
70;357;12/01/2021;475.00
71;468;13/01/2021;500.00
72;246;13/01/2021;525.00
73;802;14/01/2021;550.00
74;468;14/01/2021;575.00
75;159;15/01/2021;600.00
76;753;15/01/2021;625.00
77;852;16/01/2021;650.00
78;951;16/01/2021;675.00
79;357;17/01/2021;700.00
80;468;17/01/2021;725.00
81;246;18/01/2021;750.00
82;802;18/01/2021;775.00
83;468;19/01/2021;800.00
84;159;19/01/2021;825.00
85;753;20/01/2021;850.00
86;852;20/01/2021;875.00
87;951;21/01/2021;900.00
88;357;21/01/2021;925.00
89;468;22/01/2021;950.00
90;246;22/01/2021;975.00
91;802;23/01/2021;1000.00
92;468;23/01/2021;1025.00
93;159;24/01/2021;1050.00
94;753;24/01/2021;1075.00
95;852;25/01/2021;1100.00
96;951;25/01/2021;1125.00
97;357;26/01/2021;1150.00
98;468;26/01/2021;1175.00
99;246;27/01/2022;15.00
100;150;09/03/2019;2500.00
